spatial_unit,acres,alternative,canopy_per,type_per,invasive_per,stocking_per,horiz_div,vert_div,size_div,dead_tpa,species_div
p12c001u001,534.7766243,existing,60,20,40,10,0.6,0.6,0.5,0.2,0.2
p12c001u002,124.927463,existing,40,50,30,20,0.4,0.3,0.6,0.2,0.4
p12c001u003,362.1926769,existing,40,30,20,5,0.3,0.4,0.5,0.4,0.2
p12c001u004,203.8264136,existing,40,40,60,70,0.2,0.3,0.2,0.2,0.3
p12c001u005,166.591547,existing,30,40,80,50,0.2,0.3,0.2,0.2,0.2
p12c001u006,256.09438,existing,20,50,20,80,0.3,0.5,0.6,0.2,0.2
p12c002u001,823.3232139,existing,60,30,30,10,0.4,0.3,0.8,0.8,0.3
p12c002u002,266.4228144,existing,50,40,15,5,0.3,0.3,0.8,0.2,0.2
p12c002u003,425.6400619,existing,50,40,20,20,0.4,0.4,0.6,0.6,0.4
p12c002u004,597.5365223,existing,40,30,20,5,0.3,0.4,0.5,0.4,0.2
p12c003u001,421.2295082,existing,60,55,50,5,0.5,0.6,0.5,0.4,0.4
p12c003u002,152.6203613,existing,20,30,70,10,0.4,0.2,0.2,0.4,0.2
p12c004u001,17.69940231,existing,60,20,40,20,0.6,0.5,0.4,0.3,0.3
p12c004u002,328.6022054,existing,50,40,25,5,0.4,0.4,0.3,1.0,0.2
p12c005u001,16.76948647,existing,60,20,40,10,0.6,0.6,0.5,0.2,0.2
p12c005u002,780.6460393,existing,60,40,40,5,0.4,0.4,0.4,1.0,0.0
p12c005u003,140.258816,existing,50,40,15,5,0.3,0.3,0.8,0.2,0.2
p12c006u002,387.1616603,existing,60,40,15,30,0.3,0.4,0.3,0.6,0.4
p12c001u001,534.7766243,fwop,60,20,40,10,0.6,0.6,0.5,0.2,0.2
p12c001u002,124.927463,fwop,40,50,30,20,0.4,0.3,0.6,0.2,0.4
p12c001u003,362.1926769,fwop,40,30,20,5,0.3,0.4,0.5,0.4,0.2
p12c001u004,203.8264136,fwop,40,40,60,70,0.2,0.3,0.2,0.2,0.3
p12c001u005,166.591547,fwop,30,40,80,50,0.2,0.3,0.2,0.2,0.2
p12c001u006,256.09438,fwop,20,50,20,80,0.3,0.5,0.6,0.2,0.2
p12c002u001,823.3232139,fwop,60,30,30,10,0.4,0.3,0.8,0.8,0.3
p12c002u002,266.4228144,fwop,50,40,15,5,0.3,0.3,0.8,0.2,0.2
p12c002u003,425.6400619,fwop,50,40,20,20,0.4,0.4,0.6,0.6,0.4
p12c002u004,597.5365223,fwop,40,30,20,5,0.3,0.4,0.5,0.4,0.2
p12c003u001,421.2295082,fwop,60,55,50,5,0.5,0.6,0.5,0.4,0.4
p12c003u002,152.6203613,fwop,20,30,70,10,0.4,0.2,0.2,0.4,0.2
p12c004u001,17.69940231,fwop,60,20,40,20,0.6,0.5,0.4,0.3,0.3
p12c004u002,328.6022054,fwop,50,40,25,5,0.4,0.4,0.3,1.0,0.2
p12c005u001,16.76948647,fwop,60,20,40,10,0.6,0.6,0.5,0.2,0.2
p12c005u002,780.6460393,fwop,60,40,40,5,0.4,0.4,0.4,1.0,0.0
p12c005u003,140.258816,fwop,50,40,15,5,0.3,0.3,0.8,0.2,0.2
p12c006u002,387.1616603,fwop,60,40,15,30,0.3,0.4,0.3,0.6,0.4
p12c001u001,534.7766243,Alt_1,66,22,44,11,0.7,0.7,0.6,0.2,0.2
p12c001u002,124.927463,Alt_1,44,55,33,22,0.4,0.3,0.7,0.2,0.4
p12c001u003,362.1926769,Alt_1,44,33,22,6,0.3,0.4,0.6,0.4,0.2
p12c001u004,203.8264136,Alt_1,44,44,66,77,0.2,0.3,0.2,0.2,0.3
p12c001u005,166.591547,Alt_1,33,44,88,55,0.2,0.3,0.2,0.2,0.2
p12c001u006,256.09438,Alt_1,22,55,22,88,0.3,0.6,0.7,0.2,0.2
p12c002u001,823.3232139,Alt_1,66,33,33,11,0.4,0.3,0.9,0.9,0.3
p12c002u002,266.4228144,Alt_1,55,44,17,6,0.3,0.3,0.9,0.2,0.2
p12c002u003,425.6400619,Alt_1,55,44,22,22,0.4,0.4,0.7,0.7,0.4
p12c002u004,597.5365223,Alt_1,44,33,22,6,0.3,0.4,0.6,0.4,0.2
p12c003u001,421.2295082,Alt_1,66,61,55,6,0.6,0.7,0.6,0.4,0.4
p12c003u002,152.6203613,Alt_1,22,33,77,11,0.4,0.2,0.2,0.4,0.2
p12c004u001,17.69940231,Alt_1,66,22,44,22,0.7,0.6,0.4,0.3,0.3
p12c004u002,328.6022054,Alt_1,55,44,28,6,0.4,0.4,0.3,1.1,0.2
p12c005u001,16.76948647,Alt_1,66,22,44,11,0.7,0.7,0.6,0.2,0.2
p12c005u002,780.6460393,Alt_1,66,44,44,6,0.4,0.4,0.4,1.1,0.0
p12c005u003,140.258816,Alt_1,55,44,17,6,0.3,0.3,0.9,0.2,0.2
p12c006u002,387.1616603,Alt_1,66,44,17,33,0.3,0.4,0.3,0.7,0.4
