spatial_unit,acres,alternative,canopy_per,type_per,invasive_per,stocking_per,horiz_div,vert_div,size_div,dead_tpa,species_div
p12c001u001,534.776624300223,,0,0,0,0,0,0,0,0,0
p12c001u002,124.92746301902147,,0,0,0,0,0,0,0,0,0
p12c001u003,362.1926769376471,,0,0,0,0,0,0,0,0,0
p12c001u004,203.82641355758676,,0,0,0,0,0,0,0,0,0
p12c001u005,166.59154696055242,,0,0,0,0,0,0,0,0,0
p12c001u006,256.0943799943092,,0,0,0,0,0,0,0,0,0
p12c002u001,823.3232139294903,,0,0,0,0,0,0,0,0,0
p12c002u002,266.4228143969531,,0,0,0,0,0,0,0,0,0
p12c002u003,425.6400618601988,,0,0,0,0,0,0,0,0,0
p12c002u004,597.5365223474453,,0,0,0,0,0,0,0,0,0
p12c003u001,421.22950822661056,,0,0,0,0,0,0,0,0,0
p12c003u002,152.62036133683836,,0,0,0,0,0,0,0,0,0
p12c004u001,17.699402306170455,,0,0,0,0,0,0,0,0,0
p12c004u002,328.602205369464,,0,0,0,0,0,0,0,0,0
p12c005u001,16.769486466420037,,0,0,0,0,0,0,0,0,0
p12c005u002,780.6460393268503,,0,0,0,0,0,0,0,0,0
p12c005u003,140.258815999997,,0,0,0,0,0,0,0,0,0
p12c006u002,387.16166033377175,,0,0,0,0,0,0,0,0,0
