spatial_id,acres,alternative,rx_acres,canopy_per,type_per,invasive_per,stocking_per,horiz_div,vert_div,size_div,dead_tpa,species_div
p12c001u001st01,43.0017959255,,0,0,0,0,0,0,0,0,0,0
p12c001u001st02,37.2422253221,,0,0,0,0,0,0,0,0,0,0
p12c001u001st03,48.05716805,,0,0,0,0,0,0,0,0,0,0
p12c001u001st04,29.9841051854,,0,0,0,0,0,0,0,0,0,0
p12c001u001st05,51.703071533,,0,0,0,0,0,0,0,0,0,0
p12c001u001st06,61.2652784187,,0,0,0,0,0,0,0,0,0,0
p12c001u001st07,82.1761714894,,0,0,0,0,0,0,0,0,0,0
p12c001u001st08,169.829882585,,0,0,0,0,0,0,0,0,0,0
p12c001u001st09,11.5177513503,,0,0,0,0,0,0,0,0,0,0
p12c001u002st01,52.6373483262,,0,0,0,0,0,0,0,0,0,0
p12c001u002st02,55.9885360224,,0,0,0,0,0,0,0,0,0,0
p12c001u002st03,16.3017715264,,0,0,0,0,0,0,0,0,0,0
p12c001u003st01,362.193236071,,0,0,0,0,0,0,0,0,0,0
p12c001u004st01,77.8114765482,,0,0,0,0,0,0,0,0,0,0
p12c001u004st02,21.8944658918,,0,0,0,0,0,0,0,0,0,0
p12c001u004st03,53.8788151762,,0,0,0,0,0,0,0,0,0,0
p12c001u004st04,18.410317541,,0,0,0,0,0,0,0,0,0,0
p12c001u004st05,18.2408662142,,0,0,0,0,0,0,0,0,0,0
p12c001u004st06,11.3181947883,,0,0,0,0,0,0,0,0,0,0
p12c001u004st07,2.27259205413,,0,0,0,0,0,0,0,0,0,0
p12c001u005st01,28.0050295606,,0,0,0,0,0,0,0,0,0,0
p12c001u005st02,77.8948718782,,0,0,0,0,0,0,0,0,0,0
p12c001u005st03,10.989888348,,0,0,0,0,0,0,0,0,0,0
p12c001u005st04,17.4249884912,,0,0,0,0,0,0,0,0,0,0
p12c001u005st05,32.2770258575,,0,0,0,0,0,0,0,0,0,0
p12c001u006st01,126.660815125,,0,0,0,0,0,0,0,0,0,0
p12c001u006st02,56.8835654202,,0,0,0,0,0,0,0,0,0,0
p12c001u006st03,23.305797348,,0,0,0,0,0,0,0,0,0,0
